MSSubClass dwelling-type
MSZoning land-use-type
LotFrontage lot-front
LotArea lot-area
Street access-road-type
Alley access-alley-type
LotShape lot-shape
LandContour property-flatness
Utilities utility-type
LotConfig lot-config
LandSlope property-slope
Neighborhood neighborhood
Condition1 proximity-public-facility1
Condition2 proximity-public-facility2
BldgType building-type
HouseStyle house-style
OverallQual overall-quality
OverallCond overall-condition
YearBuilt year-built
YearRemodAdd year-remodel
RoofStyle roof-style
RoofMatl roof-material
Exterior1st exterior-type1
Exterior2nd exterior-type2
MasVnrType veneer-type
MasVnrArea veneer-area
ExterQual exterior-quality
ExterCond exterior-condition
Foundation foundation-type
BsmtQual basement-height
BsmtCond basement-condition
BsmtExposure basement-exposure
BsmtFinType1 basement-finished-type1
BsmtFinSF1 basement-finished-area1
BsmtFinType2 basement-finished-type2
BsmtFinSF2 basement-finished-area2
BsmtUnfSF basement-unfinished-area
TotalBsmtSF basement-total-area
Heating heating-type
HeatingQC heating-quality
CentralAir central-air
Electrical electrical-sytem
1stFlrSF first-floor-area
2ndFlrSF second-floor-area
LowQualFinSF low-quality-finished-area
GrLivArea ground-living-area
BsmtFullBath basement-full-bathroom-number
BsmtHalfBath basement-half-bathroom-number
FullBath full-bathroom-number
HalfBath half-bathroom-number
BedroomAbvGr bedroom-number
KitchenAbvGr kitchen-number
KitchenQual kitchen-quality
TotRmsAbvGrd total-room-number
Functional functionality
Fireplaces fireplace-number
FireplaceQu fireplace-quality
GarageType garage-type
GarageYrBlt garage-year-built
GarageFinish garage-interior
GarageCars garage-size-cars
GarageArea garage-area
GarageQual garage-quality
GarageCond garage-condition
PavedDrive driveway-paved
WoodDeckSF wood-deck-area
OpenPorchSF open-porch-area
EnclosedPorch enclosed-porch-area
3SsnPorch 3season-porch-area
ScreenPorch screen-porch-area
PoolArea pool-area
PoolQC pool-quality
Fence fence-quality
MiscFeature other-feature
MiscVal other-value
MoSold month-sold
YrSold year-sold
SaleType sale-type
SaleCondition sale-condition
SalePrice sale-price
